DeepSet,DSGCN,B-DSGCN
77.07391620524622,57.43637492812094,47.26009531379419
56.14650594072809,49.18978002217976,42.52855133450055
58.37818794964221,57.57949478401765,39.65257789378745
51.96165974742866,43.0999632753376,40.51071570121238
64.537223879126,65.9054435281043,40.96726392592674
68.01812307452371,68.74658873645144,49.81768109233651
60.96474752503608,80.97492516600111,36.31957007356553
56.9088841148798,64.69607045678677,58.17331357360949
65.16949777018542,52.67916763462382,70.81510279175393
80.3485057104561,63.21863317514539,86.0577892933578
73.36291917395016,63.4085267812151,49.650670200825694
41.82642291564483,64.11862145085645,46.1604080242011
86.96961505247714,70.27863997891954,51.86001481166996
64.04632586009741,71.66800350308603,62.89172622895718
86.67277768061373,62.34355454509401,43.42289352675198
50.598425114279415,49.3703312250033,32.052846667235045
73.02427763425726,61.64075991411252,50.29830040999624
43.29526889033625,38.96457368644734,32.696263534853486
35.852825459405196,54.512958952861496,30.460772027258866
54.58216784651277,46.144182286404615,34.38194740911782
38.3643217056334,53.00020471181211,34.84442466452667
76.16974031045896,62.39446446939141,59.74956631866078
53.22227199073509,62.32235408045884,41.622901541844335
75.23989338472546,63.937746144836595,54.085240479133674
79.01360181226094,59.64027666306518,38.781712605288156
60.97951737069674,39.38378573739568,40.943606964843305
40.872710676773124,65.21583423826814,44.18905804935588
53.774939963385236,88.78102267218833,43.825496575012956
75.3434983731476,47.371946927989235,51.27844506510077
75.7531082238432,73.41915879525365,64.94906129623438
73.39470700966497,65.2423078104624,51.288307062360076
55.73181847329022,61.43072560941465,43.175875446207904
45.29831409998304,48.780468552204574,38.74212314263348
73.91838060748285,66.50158248502214,55.81759264141983
52.020769997042365,56.854141541673584,40.31649300244904
126.83750807526432,66.50046612956815,51.376324230388
48.48466522387228,52.93447864139743,38.751138870435746
65.55953796121779,50.65558560022004,42.86459490412775
54.69970927237646,45.10563217752599,43.419493015438256
63.25842584535967,51.68589422782093,47.42159130647246
69.98105151075991,71.94374844471304,62.24945658376379
61.33584568481714,64.8948383170413,58.765167166042716
59.46118649687266,55.603499330025244,38.053745959392856
74.57550241025976,65.47386668299177,67.07688623646256
67.53800791739158,58.05847815221027,46.106154178036945
46.65887874013407,55.9512106147198,40.75687979555665
108.98040970136418,64.14696761929609,66.6551302326479
78.87536922678487,49.72597017676963,41.11574434580059
64.95355244052617,55.38662284673849,63.36355360435496
65.65689238799669,50.42155737000448,47.622519854702425
63.150700116298665,64.74010219102904,48.33891653093879
82.05368979369874,43.3259866710537,36.46818939480924
44.06746790578583,52.807836603561014,33.84093429029708
55.0216157692501,60.45813307323379,49.986996717687774
59.95755311427717,56.616316674015465,38.61419240875457
44.54299417321776,48.66761376144951,45.08213726804072
54.25143339591092,43.89123807891317,41.595936670360416
79.87524816539838,65.69286269829252,72.18841034646485
81.57844132900651,42.80491361554911,35.54521808688328
67.628674500437,86.39639482158445,55.36367839823744
61.34191104463389,52.673143430768505,35.773767429732565
51.71016595607833,59.11017244627279,46.974364907023556
55.35111554100884,77.84890868157832,58.64173529319837
64.96653200186432,53.57029194514041,50.06157131981138
46.87560603306062,47.7279048384567,39.2460341622189
66.24058681107506,41.83756074770868,41.27155052681021
71.88453530519574,45.960513519502236,40.87913100675727
58.71748284022293,51.160363467243215,41.72764346370116
56.87090745146393,52.66902783462482,46.35750392352225
112.81172104142574,63.7440661903147,57.219498444834194
49.842647327443146,49.022326704083504,43.99257434496109
41.120948002674766,51.0681586801391,28.93760790021354
71.73295275472857,78.10510454152282,33.26043459872524
40.81049829656612,52.22063363477015,34.94554228952946
64.06218633873614,71.82414407628232,56.87480697881007
79.7710721380113,60.91671337354408,46.651393499647746
73.39492822295769,61.56736854588023,42.798843111237176
85.13812332358475,43.85937822026585,39.1491556012441
75.96292645974353,60.46020116029599,36.158786593469635
80.56926628760345,65.7738267634292,45.96073473279496
73.56524702486898,49.86638402820186,37.97180444017205
51.650392066586456,68.56140234347107,53.65042260205799
82.69200332209901,58.87298035152177,44.657551791877275
72.4128286596849,69.19202485157784,53.1175197798879
85.62067697143202,62.21374349822695,55.5536851832011
63.1274058421254,62.619176018836704,53.30472795947385
60.25053725925105,68.31661182933978,57.308199830721
46.308667230782234,51.99076730115489,41.10734852966747
68.47018015494626,62.61145413157212,53.6929315657271
73.9543663512642,74.64755106525018,62.59088643984404
67.93746253460263,64.99945677101381,46.443946876025215
54.2510115473062,54.55303971480583,47.40901301575831
86.58039283617832,70.37244470402452,46.54228390138343
78.5263512403147,49.11771078920863,34.634668162568495
71.3314351949505,62.61330100534159,60.16577655667182
63.80321759588983,51.99677092702949,49.90972125559488
66.20767233091593,66.17645038967089,56.18768762464086
51.749058339636164,74.23713867330656,52.38756735885326
40.71228216684462,75.5820846260923,37.3273303787942
82.88276120335888,57.590159322524975,50.78111128260249
