DeepSet,DSGCN,B-DSGCN
2.5133760645985603,1.9506670534610748,2.0974649116396904
2.0236145704984665,1.7046360298991203,1.6246119514107704
2.0412279292941093,2.099205367267132,2.095978334546089
2.0369166508316994,1.4419964514672756,1.8111327663064003
2.3417560383677483,2.176060527563095,1.7865262925624847
2.0590338855981827,2.5286786258220673,1.933790184557438
2.00178362429142,2.067665569484234,1.4131894335150719
2.452876977622509,1.796112023293972,1.936088316142559
2.233998104929924,1.7951460555195808,2.1777356043457985
2.417987957596779,1.8521016463637352,2.287006564438343
2.2325078025460243,1.779620349407196,2.0484210923314095
1.7556840553879738,1.8421443179249763,1.737549714744091
2.914668433368206,2.1546367555856705,1.8164528533816338
2.464604936540127,2.395288273692131,2.1946677938103676
2.7437573298811913,2.0871151238679886,1.7237750813364983
2.3467320948839188,2.1316908299922943,1.5239385887980461
2.309975028038025,1.8118688836693764,1.8912425264716148
1.7607897520065308,1.7114633694291115,1.6000671312212944
1.9496569409966469,1.6758350655436516,1.645718701183796
1.6078617423772812,1.6797887161374092,1.4986857771873474
1.5202601440250874,1.893448829650879,1.6644679009914398
2.6839526370167732,1.8487010151147842,2.066147141158581
2.186994254589081,1.8100781366229057,1.7936434596776962
3.315049782395363,2.0186463370919228,2.056611329317093
2.4378789588809013,1.8995368853211403,1.5859264880418777
2.0626265555620193,1.7295261844992638,1.7737511545419693
1.7436983063817024,1.8849031999707222,1.6251340508460999
2.1870240569114685,2.1329907700419426,2.0050738006830215
2.4100836366415024,1.9054921343922615,1.79057065397501
2.371329255402088,2.0367972552776337,2.0296702161431313
2.4579524993896484,2.185629680752754,2.1491149440407753
2.1259797737002373,2.0528972148895264,1.9345438107848167
2.0362095907330513,1.9306320697069168,1.747714914381504
2.337770164012909,1.9168021157383919,1.9752491265535355
1.8858881667256355,1.8242394551634789,1.6929319128394127
3.7206921726465225,1.7988963052630424,2.0701590925455093
2.144017443060875,1.8808389082551003,1.7833059653639793
2.2341936826705933,2.375739812850952,1.890590786933899
2.1327564492821693,1.6291053965687752,1.8502747640013695
2.6038996875286102,1.6469011083245277,1.6499778255820274
2.307119034230709,2.2032825276255608,1.9522331655025482
2.432316727936268,2.1627023816108704,2.2458206862211227
2.4745898321270943,1.8141305074095726,1.7863987013697624
2.255641110241413,2.256842330098152,2.208918146789074
2.200762555003166,1.9760208204388618,1.8009185791015625
1.5706731006503105,1.8349198624491692,1.5731770545244217
2.6366621255874634,2.0920781418681145,2.001768723130226
2.4422019720077515,1.6626004129648209,1.674099639058113
1.994810439646244,1.7055569216609001,1.8825327977538109
2.09121722728014,1.8593909218907356,1.9630054011940956
2.1830925717949867,1.9430940970778465,1.9837576895952225
3.1005900353193283,1.5763355419039726,1.6385257244110107
1.9866682589054108,1.6579331830143929,1.9120456650853157
2.2568603977560997,1.8983542919158936,1.8837563693523407
2.0121220499277115,1.973532885313034,1.4932379126548767
1.8136149272322655,1.7382113263010979,1.790604367852211
2.0184116438031197,1.7770051956176758,1.6909334808588028
2.28441022336483,2.2453289479017258,2.194228768348694
2.6625696569681168,1.7765020951628685,1.7862090840935707
2.4489501491189003,2.2434990853071213,1.8958788365125656
2.071201615035534,1.864437572658062,1.7827440053224564
1.8617155030369759,1.8554355949163437,1.9976269453763962
2.173440158367157,2.41999514400959,1.8181707710027695
1.8823182210326195,1.694541610777378,1.7109919339418411
1.7735503613948822,1.6721634194254875,1.5683859586715698
2.2412972524762154,1.5276053920388222,1.6098938882350922
2.1842719987034798,1.4153828844428062,1.6847465187311172
2.086610347032547,1.5417967922985554,1.8168851733207703
2.0458001643419266,1.7103290185332298,1.666388101875782
3.3619292080402374,2.210371196269989,2.1721454337239265
1.9426696002483368,1.555402297526598,1.655426062643528
1.9763931632041931,1.5178769826889038,1.62579994648695
2.1534616127610207,2.1556925028562546,1.4479530975222588
1.6862565651535988,1.791476458311081,1.6048813238739967
2.240169420838356,2.0379720255732536,1.7540331929922104
2.119012735784054,1.8400592729449272,1.66791882365942
2.496592327952385,1.8485337495803833,1.7292940989136696
2.750883810222149,1.7433695495128632,1.6060255467891693
2.266561798751354,1.7515560612082481,1.690090261399746
2.5868048891425133,2.069994807243347,1.8836671486496925
2.1088751032948494,2.15835589915514,1.7319394275546074
2.2390635684132576,2.0080041140317917,1.9717298448085785
2.2627681493759155,1.7686184495687485,1.94675512611866
2.199380472302437,2.0322972908616066,1.858949288725853
2.278119884431362,2.2651752457022667,1.8340559676289558
2.0944198593497276,2.2050155326724052,1.8178319558501244
1.9687052816152573,1.7969945445656776,1.8931947648525238
1.7955105751752853,1.616942323744297,1.6407137736678123
2.315966971218586,2.1038757637143135,2.136179991066456
2.221093699336052,2.4392927065491676,2.290900982916355
2.220132201910019,1.9960248842835426,1.9227582961320877
1.8625231459736824,1.745789684355259,1.6364490613341331
2.559508942067623,2.08247322589159,1.6996197402477264
2.387545630335808,1.8663100898265839,1.6536431387066841
2.206268720328808,2.0540911704301834,2.018336020410061
1.9128601998090744,1.5296323224902153,1.9582685083150864
2.391078695654869,2.3309187963604927,2.1952489390969276
2.1064825356006622,1.9208358600735664,1.8268372863531113
1.7056964337825775,2.299053408205509,1.6599729657173157
2.7931297197937965,1.7864042893052101,1.5815604478120804
