SetTransformer,STGCN,B-STGCN
107.74489745003906,88.96274681991281,79.8866483667164
65.93918112749216,61.30842038101464,52.951897902075586
78.9336152012084,78.60399196156536,67.3932932679892
65.31228837839062,73.71022404352553,55.849128396870825
83.58091549968836,74.35893459668378,94.72759609524947
65.2958722942725,66.04151542560494,73.14094964043561
80.00407146919096,92.49203513696992,47.19827391522084
96.50278646889622,87.63458221040295,95.49555604667106
87.62335692192104,78.88095614854993,86.14049734236036
93.89751122003894,70.92438215835917,68.11697969389508
79.284793875654,73.61104846545304,63.77912078046855
74.28821836594489,61.96305739261981,86.14155710836737
72.83342200758896,69.27800994400981,69.74944633777395
89.91576455193527,91.56750761925214,92.72481325485684
51.01989302636401,63.86343905646233,58.12246023875906
32.69242831369709,53.675774674303106,44.76761312174982
104.83838114144463,80.96485738893462,64.33384655119055
70.24515960429065,44.22030571307682,46.55277867154983
62.99894779749058,69.62327244899888,59.74039368375554
63.46095947608567,48.62288752035799,71.94532266023799
46.50524868058543,43.68339018466663,53.962456812681964
97.40880409295778,75.1316789286224,82.03119806077349
74.5965845515058,67.87472027139214,69.02396962754557
64.73642387697562,83.7053351156072,70.4381964969151
67.68113806227865,62.63935272893113,60.171764749060884
64.81405945373109,52.132184329147144,54.10827238405278
80.11333540231065,56.12916899197281,55.52022538655292
60.23553076681213,67.16576253518548,52.489376918457715
81.73355814766207,67.17974012858848,67.02744763778652
102.74548732348599,86.5495464430814,95.58494679491193
109.09161310916659,91.75374863374432,99.88064142584638
73.8223997609169,88.15801401694739,83.5848664719863
60.99660223918822,63.77064779690774,54.72835382153652
71.9812209476013,82.84590603989217,79.24094219874303
77.01076238242135,55.35527743760914,47.50035352767226
81.24392052995248,65.70261151665787,81.64442462418017
83.26604152772525,61.19049826250766,52.3030433030523
73.35987363280384,88.46005761793256,65.90382815661789
49.45133130160623,54.17735266532456,55.12811196396317
71.70842894620739,65.32976937301093,75.566064668103
84.0210939407412,63.011572388661335,60.54608336282437
90.69440447534971,96.29062748768918,103.44001475071384
84.4422326051343,77.78283792998661,60.48229676709241
101.96366810205053,99.9232481349239,106.17157706724015
62.52737250235659,77.77773459076845,58.22425436487797
71.5873275296794,63.43524728917799,59.510172379972886
81.5415089981121,88.97814943848056,90.94290417050553
63.86669037741584,60.62064767595761,51.26482758636035
85.89169926648414,93.24575512573435,82.997421711922
77.84645990187283,87.5041898355806,77.7533239611412
58.087014666971555,57.40264761772343,57.06429931425577
58.75980145757038,64.77637602654046,67.69115439439334
63.75510627697014,52.918175736173254,56.3717679511576
84.80580436846759,92.5635641979472,93.28101549569539
87.48394110255366,65.9083193009097,59.029414160943304
82.68265062986248,65.4161094356103,59.66722867331115
63.58687099560658,68.08392116787091,55.72452872362071
91.75179372557606,97.42530763349396,99.24310471621823
63.07016818875707,73.30753868334168,59.58293097529808
94.0476070113992,97.1439243251501,70.3739366076266
52.196907223001794,64.32241033840627,87.11817778427387
85.96822363228083,68.21509036146539,73.55795727519948
88.1516554209054,79.19376717794601,81.4557811304391
68.54096840861767,59.11508029467414,65.05227015852768
96.77790378211132,54.89851828859243,77.10150613289446
54.34329350183801,58.84060089886131,39.88894172481456
63.227790376565096,73.08250817519524,48.63854221918954
76.95897789394341,70.62588825904793,60.85794266061223
70.42731074511505,59.30490187781133,63.69636128651419
79.70742958814438,79.3383326369882,68.29207773182821
62.790744933076645,56.996921860888435,54.27137860372227
73.7963120258611,73.04127504633068,53.469994867118764
86.40935894943706,59.06083673750035,56.84016909276577
65.89750557204216,49.96008071890807,53.5476664553405
75.4130313699952,55.969550740035096,75.90202592580732
66.32868629102586,52.32027221740881,63.53494246126362
79.26028035612318,81.7462393282798,104.01297775684755
46.31131150130455,58.379432917475675,46.61339111375597
63.984417005106,61.8268774607204,52.268539173882665
85.83573230342519,93.10741965035469,90.41242440556502
72.27689566355411,61.42287510977057,56.40859739214842
87.91613014259256,84.56547927615217,69.2186733366082
63.18582158488985,60.747804163312,62.7225134935095
61.797522971225554,66.58877138932614,65.94979936554287
80.61611206070897,57.41205175491176,54.85345765531424
91.61798540595446,100.38883523766881,95.31633212360386
91.58543104045789,95.24696375060202,95.75965385121143
53.408291791934545,55.990231610657126,56.79126552158841
98.99199161751119,97.96835025566307,96.41139965652566
108.31138868123682,101.58080448179372,100.23077576777052
92.40297363642054,93.35615599228875,87.39002319855473
71.20203570769782,66.32260549772356,68.4480691146643
104.42499008679202,88.05585463167073,78.90044864078547
73.13609838148123,63.81600166641116,47.55924770848842
90.46568021966434,92.8670379685923,89.23062068391502
68.83339694811215,71.81984842280734,69.41582582537634
80.76694865937509,83.1136512915149,80.55300453834072
72.01500999194097,68.0879853190628,67.80370565993282
73.08539938148618,55.1529804536614,53.45030173957122
84.72873983067706,58.94783275638507,67.57699290186265
